"""-1.100000e-03,-9.020302e-05"""
"""-0.000985,-8.59827e-05"""
"""-0.00087,-8.156704e-05"""
"""-0.000755,-7.397775e-05"""
"""-0.000635,-6.712118e-05"""
"""-0.00052,-5.423187e-05"""
"""-0.000405,-4.634506e-05"""
"""-0.00029,-3.869726e-05"""
"""-0.000175,-2.864328e-05"""
"""-6e-05,-1.853176e-05"""
"""6e-05,1.469593e-06"""
"""0.000175,2.275167e-05"""
"""0.00029,2.366187e-05"""
"""0.000405,3.332133e-05"""
"""0.00052,4.395101e-05"""
"""0.000635,5.048892e-05"""
"""0.000755,5.739736e-05"""
"""0.00087,6.930947e-05"""
"""0.000985,7.372245e-05"""
"""0.0011,8.504466e-05"""
